time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,internal_fx,internal_fy,user_fx,user_fy,prob_left,score_mode,target_succ,max_trials,effort
17.794049,1763298865.891685,1763298722,0.448574,0.000450,-0.000054,0.000946,0.000000,125.850499,2.410561,2.754927,0.500000,1,10,99,199.999827
17.796087,1763298865.893641,1763298722,0.448578,0.000454,0.000935,0.000941,0.000000,125.850499,3.099293,1.721829,0.500000,1,10,99,199.999591
17.798088,1763298865.895642,1763298722,0.448578,0.000454,0.000945,0.000946,0.000000,125.850499,2.410561,13.430269,0.500000,1,10,99,199.998679
17.800082,1763298865.897630,1763298722,0.448574,0.000541,-0.000833,0.029500,0.000000,125.850423,0.000000,75.760490,0.500000,1,10,99,199.886888
17.802081,1763298865.899629,1763298722,0.448563,0.000814,-0.003621,0.088401,0.000000,123.660521,0.000000,78.859783,0.500000,1,10,99,199.538031
17.804200,1763298865.901868,1763298722,0.448551,0.000920,-0.005971,0.115708,0.000000,123.127617,0.000000,79.548515,0.500000,1,10,99,199.077199
17.806096,1763298865.903670,1763298722,0.448544,0.001007,-0.006562,0.074679,0.000000,122.706884,0.000000,80.237247,0.500000,1,10,99,198.776444
17.808191,1763298865.905859,1763298722,0.448513,0.001011,-0.007570,0.007019,0.000000,122.506548,0.000000,86.435832,0.500000,1,10,99,198.731828
17.810039,1763298865.907549,1763298722,0.448495,0.001185,-0.008185,0.045069,0.000000,122.409786,0.000000,87.468930,0.500000,1,10,99,198.531499
17.812037,1763298865.909545,1763298722,0.448487,0.001442,-0.007743,0.106230,0.000000,122.137488,0.000000,87.813296,0.500000,1,10,99,198.063843
17.814024,1763298865.911524,1763298722,0.448476,0.001624,-0.007001,0.109389,0.000000,122.137488,0.000000,79.892881,0.500000,1,10,99,197.625980
17.816024,1763298865.913523,1763298722,0.448460,0.001749,-0.007077,0.075478,0.000000,122.137488,0.000000,85.058369,0.500000,1,10,99,197.303571
17.818028,1763298865.915529,1763298722,0.448445,0.001946,-0.005969,0.085245,0.000000,122.810319,0.344366,86.780198,0.500000,1,10,99,196.932783
17.820025,1763298865.917523,1763298722,0.448434,0.002248,-0.005169,0.129180,0.000000,122.810319,0.344366,87.468930,0.500000,1,10,99,196.367367
17.822025,1763298865.919526,1763298722,0.448426,0.002672,-0.003945,0.145608,0.000000,122.176493,-0.344366,87.813296,0.500000,1,10,99,195.727811
17.824024,1763298865.921521,1763298722,0.448426,0.002790,-0.003127,0.133447,0.000000,122.176493,0.000000,87.124564,0.500000,1,10,99,195.146324
17.826024,1763298865.923521,1763298722,0.448423,0.003047,-0.002718,0.126008,0.000000,121.884557,0.688732,87.813296,0.500000,1,10,99,194.592920
17.828023,1763298865.925520,1763298722,0.448419,0.003361,-0.002358,0.142490,0.000000,121.884557,0.000000,87.468930,0.500000,1,10,99,193.969660
17.830029,1763298865.927532,1763298722,0.448411,0.003702,-0.001858,0.163348,0.000000,121.601987,-0.344366,87.813296,0.500000,1,10,99,193.252403
17.832052,1763298865.929563,1763298722,0.448411,0.004031,-0.001210,0.167118,0.000000,121.601987,0.000000,87.813296,0.500000,1,10,99,192.518624
17.834027,1763298865.931527,1763298722,0.448407,0.004349,-0.001856,0.161274,0.000000,120.597282,0.000000,87.813296,0.500000,1,10,99,191.810479
17.836034,1763298865.933541,1763298722,0.448407,0.004709,-0.000949,0.171123,0.000000,120.597282,0.000000,87.813296,0.500000,1,10,99,191.059123
17.838031,1763298865.935537,1763298722,0.448404,0.005102,-0.000937,0.189828,0.000000,119.863811,0.344366,88.502027,0.500000,1,10,99,190.219097
17.840030,1763298865.937533,1763298722,0.448404,0.005492,-0.000946,0.195705,0.000000,119.863811,0.000000,88.157661,0.500000,1,10,99,189.356440
