time,sys_time,session_id,mode,trial,preload,threshold,window_s,fx_min_window
16.560199,1763295331.910853,1763295298,1,0,0,3.000000,0.200000,-0.344366
34.192524,1763295349.543162,1763295298,1,1,0,3.000000,0.200000,1.033098
42.692904,1763295358.043578,1763295298,1,2,0,3.000000,0.200000,-3.788025
51.154392,1763295366.505614,1763295298,1,3,0,3.000000,0.200000,2.066195
59.595133,1763295374.945872,1763295298,1,4,0,3.000000,0.200000,-0.344366
68.045620,1763295383.396299,1763295298,1,5,0,3.000000,0.200000,-0.688732
76.505022,1763295391.855632,1763295298,1,6,0,3.000000,0.200000,-0.688732
94.150495,1763295409.500307,1763295298,1,7,0,3.000000,0.200000,-0.688732
111.819063,1763295427.169569,1763295298,1,8,0,3.000000,0.200000,2.754927
120.265220,1763295435.615814,1763295298,1,9,0,3.000000,0.200000,-0.344366
