time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,prob_left,preload_flag
9.046431,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000907,0.000000,0.500000,0
9.048426,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321336,0.000201,0.000946,0.000000,0.500000,0
9.050418,1765332954.646657,1765332933,1,1,-0.688732,0.688732,0.321332,0.000201,0.000054,0.000000,0.500000,0
9.052412,1765332954.646657,1765332933,1,1,-1.721829,2.066195,0.321332,0.000201,-0.000940,0.000000,0.500000,0
9.054432,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000500,0.000000,0.500000,0
9.056432,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,-0.000000,0.000000,0.500000,0
9.058432,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.060432,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.062418,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000925,0.000000,0.500000,0
9.064429,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000264,0.000000,0.500000,0
9.066418,1765332954.646657,1765332933,1,1,-1.721829,2.066195,0.321336,0.000201,0.000001,0.000000,0.500000,0
9.068430,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000806,0.000000,0.500000,0
9.070434,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000945,0.000000,0.500000,0
9.072419,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000140,0.000000,0.500000,0
9.074441,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000872,0.000000,0.500000,0
9.076418,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000940,0.000000,0.500000,0
9.078414,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000946,0.000000,0.500000,0
9.080419,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,-0.000943,0.000000,0.500000,0
9.082433,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,-0.000500,0.000000,0.500000,0
9.084435,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000039,0.000000,0.500000,0
9.086434,1765332954.646657,1765332933,1,1,-1.033098,2.754927,0.321332,0.000201,-0.000000,0.000000,0.500000,0
9.088432,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.090430,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.092432,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.094431,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.096437,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.098440,1765332954.646657,1765332933,1,1,-1.033098,2.754927,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.100437,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.102430,1765332954.646657,1765332933,1,1,0.000000,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.104438,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.106420,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.108434,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.110416,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.112441,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.114427,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.116437,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.118427,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.120426,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.122438,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.124435,1765332954.646657,1765332933,1,1,-1.721829,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.126448,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000872,0.000000,0.500000,0
9.128436,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321336,0.000201,0.000940,0.000000,0.500000,0
9.130435,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000500,0.000000,0.500000,0
9.132431,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000937,0.000000,0.500000,0
9.134435,1765332954.646657,1765332933,1,1,-2.410561,1.377463,0.321332,0.000201,-0.000500,0.000000,0.500000,0
9.136420,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000003,0.000000,0.500000,0
9.138436,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.140437,1765332954.646657,1765332933,1,1,-0.688732,1.377463,0.321336,0.000201,0.000806,0.000000,0.500000,0
9.142422,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321336,0.000201,0.000945,0.000000,0.500000,0
9.144431,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000861,0.000000,0.500000,0
9.146433,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,-0.000946,0.000000,0.500000,0
9.148431,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,-0.000946,0.000000,0.500000,0
9.150440,1765332954.646657,1765332933,1,1,0.000000,1.377463,0.321332,0.000201,-0.000006,0.000000,0.500000,0
9.152446,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.154438,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.156424,1765332954.646657,1765332933,1,1,-1.033098,2.410561,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.158433,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.160426,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.162422,1765332954.646657,1765332933,1,1,0.000000,0.688732,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.164441,1765332954.646657,1765332933,1,1,-0.688732,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.166436,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.168440,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000446,0.000000,0.500000,0
9.170441,1765332954.646657,1765332933,1,1,0.000000,2.066195,0.321336,0.000201,0.000943,0.000000,0.500000,0
9.172430,1765332954.646657,1765332933,1,1,0.000000,2.754927,0.321336,0.000201,0.000039,0.000000,0.500000,0
9.174427,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,-0.000907,0.000000,0.500000,0
9.176444,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000943,0.000000,0.500000,0
9.178451,1765332954.646657,1765332933,1,1,-1.721829,1.377463,0.321332,0.000201,-0.000500,0.000000,0.500000,0
9.180439,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000003,0.000000,0.500000,0
9.182436,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.184428,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.186436,1765332954.646657,1765332933,1,1,0.000000,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.188437,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.190440,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.192431,1765332954.646657,1765332933,1,1,-1.033098,0.688732,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.194444,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.196428,1765332954.646657,1765332933,1,1,-1.721829,2.754927,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.198426,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.200444,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.202447,1765332954.646657,1765332933,1,1,0.000000,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.204444,1765332954.646657,1765332933,1,1,-0.688732,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.206429,1765332954.646657,1765332933,1,1,0.000000,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.208436,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.210429,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.212444,1765332954.646657,1765332933,1,1,0.000000,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.214442,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.216436,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.218434,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.220434,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.222442,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.224445,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.226438,1765332954.646657,1765332933,1,1,-1.033098,2.754927,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.228432,1765332954.646657,1765332933,1,1,-1.033098,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.230442,1765332954.646657,1765332933,1,1,-0.688732,2.066195,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.232430,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
9.234449,1765332954.646657,1765332933,1,1,0.000000,0.688732,0.321336,0.000201,0.000925,0.000000,0.500000,0
9.236441,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321336,0.000201,0.000946,0.000000,0.500000,0
9.238432,1765332954.646657,1765332933,1,1,-1.033098,2.754927,0.321332,0.000201,-0.000887,0.000000,0.500000,0
9.240440,1765332954.646657,1765332933,1,1,0.000000,1.377463,0.321332,0.000201,-0.000500,0.000000,0.500000,0
9.242443,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000003,0.000000,0.500000,0
9.244432,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,-0.000000,0.000000,0.500000,0
9.246431,1765332954.646657,1765332933,1,1,-1.033098,1.377463,0.321332,0.000201,0.000000,0.000000,0.500000,0
16.608196,1765332962.206534,1765332933,1,2,0.000000,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.610193,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.612188,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.614187,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.616198,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.618189,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.620181,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.622191,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.624188,1765332962.206534,1765332933,1,2,-1.721829,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.626181,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.628204,1765332962.206534,1765332933,1,2,-1.721829,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.630305,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.632309,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.634292,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.636300,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.638290,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.640306,1765332962.206534,1765332933,1,2,-1.033098,-8.609147,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.642307,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.644292,1765332962.206534,1765332933,1,2,-1.721829,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.646295,1765332962.206534,1765332933,1,2,-1.033098,-8.609147,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.648298,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.650302,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.652292,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.654293,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.656308,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.658293,1765332962.206534,1765332933,1,2,-0.688732,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.660297,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.662294,1765332962.206534,1765332933,1,2,0.000000,-6.887317,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.664293,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.666308,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.668315,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.670301,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.672301,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.674294,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.676293,1765332962.206534,1765332933,1,2,-0.688732,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.678299,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.680310,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.682295,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.684308,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.686301,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.688295,1765332962.206534,1765332933,1,2,0.000000,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.690315,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.692316,1765332962.206534,1765332933,1,2,-1.033098,-6.887317,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.694308,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.696304,1765332962.206534,1765332933,1,2,0.000000,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.698299,1765332962.206534,1765332933,1,2,-1.033098,-6.887317,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.700301,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.702301,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.704312,1765332962.206534,1765332933,1,2,-1.721829,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.706300,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.708305,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.710299,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.712298,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.714305,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.716297,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.718311,1765332962.206534,1765332933,1,2,-1.033098,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.720328,1765332962.206534,1765332933,1,2,-0.688732,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.722300,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.724301,1765332962.206534,1765332933,1,2,-0.688732,-8.264781,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.726304,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.728318,1765332962.206534,1765332933,1,2,0.000000,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.730314,1765332962.206534,1765332933,1,2,-1.033098,-7.576049,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.732310,1765332962.206534,1765332933,1,2,-1.721829,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
16.734301,1765332962.206534,1765332933,1,2,-1.033098,-7.231683,0.321332,0.010011,0.000000,0.000000,0.500000,0
