time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,internal_fx,internal_fy,user_fx,user_fy,prob_left,score_mode,target_succ,max_trials,effort
26.952472,1765349131.442196,1765349055,0.321332,0.000216,0.000940,0.000000,0.000000,50.000000,-1.033098,1.377463,0.500000,1,10,10,0.000000
26.954513,1765349131.444165,1765349055,0.321332,0.000216,0.000946,0.000000,0.000000,50.000000,-1.033098,2.066195,0.500000,1,10,10,0.000000
26.956514,1765349131.446166,1765349055,0.321332,0.000216,0.000074,0.000000,0.000000,50.000000,0.344366,2.066195,0.500000,1,10,10,0.000000
26.958515,1765349131.448166,1765349055,0.321332,0.000246,0.000000,0.017155,0.000000,50.000000,0.000000,46.489392,0.500000,1,10,10,0.000000
26.960481,1765349131.450111,1765349055,0.321332,0.000439,0.000000,0.067136,0.000000,50.000000,0.000000,49.244319,0.500000,1,10,10,0.000000
26.962659,1765349131.452475,1765349055,0.321336,0.000598,0.000946,0.083161,0.000000,50.000000,0.000000,49.933050,0.500000,1,10,10,0.000000
26.964528,1765349131.454234,1765349055,0.321336,0.000606,0.000140,0.008391,0.000000,50.000000,-0.688732,56.131636,0.500000,1,10,10,0.000000
26.966524,1765349131.456228,1765349055,0.321336,0.000598,0.000011,-0.002320,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,0.000000
26.968456,1765349131.458055,1765349055,0.321336,0.000685,0.000000,0.027280,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,0.000000
26.970456,1765349131.460054,1765349055,0.321340,0.000844,0.001752,0.066827,0.000000,50.000000,0.000000,50.277416,0.500000,1,10,10,0.000000
26.972461,1765349131.462059,1765349055,0.321347,0.000954,0.001957,0.061171,0.000000,50.000000,0.000000,49.244319,0.500000,1,10,10,0.000000
26.974461,1765349131.464058,1765349055,0.321343,0.001064,0.000641,0.040147,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,0.000000
26.976461,1765349131.466061,1765349055,0.321343,0.001128,0.000095,0.050193,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,0.000000
26.978473,1765349131.468081,1765349055,0.321343,0.001310,-0.000940,0.078239,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,0.000000
26.980478,1765349131.470091,1765349055,0.321343,0.001469,-0.000173,0.081386,0.000000,50.000000,0.344366,49.588685,0.500000,1,10,10,0.000000
26.982480,1765349131.472094,1765349055,0.321347,0.001575,0.001318,0.063023,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,0.000000
26.984481,1765349131.474096,1765349055,0.321347,0.001798,0.000954,0.074499,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,0.000000
26.986482,1765349131.476099,1765349055,0.321347,0.001893,0.000947,0.084006,0.000000,50.000000,0.344366,56.131636,0.500000,1,10,10,0.000000
