time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,threshold,window_s
12.461601,1763295591.141189,1763295558,1,0,-1.033098,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.463602,1763295591.141189,1763295558,1,0,-0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.465645,1763295591.141189,1763295558,1,0,-0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.467605,1763295591.141189,1763295558,1,0,-0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.469605,1763295591.141189,1763295558,1,0,-0.688732,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.471584,1763295591.141189,1763295558,1,0,-0.344366,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.473585,1763295591.141189,1763295558,1,0,-0.344366,-4.132390,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.475586,1763295591.141189,1763295558,1,0,-0.344366,-4.132390,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.477623,1763295591.141189,1763295558,1,0,-0.344366,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.479588,1763295591.141189,1763295558,1,0,-0.344366,-4.132390,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.481589,1763295591.141189,1763295558,1,0,-0.344366,-4.132390,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.483589,1763295591.141189,1763295558,1,0,-0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.485575,1763295591.141189,1763295558,1,0,0.344366,-4.132390,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.487576,1763295591.141189,1763295558,1,0,-0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.489605,1763295591.141189,1763295558,1,0,-0.344366,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.491578,1763295591.141189,1763295558,1,0,-1.033098,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.493573,1763295591.141189,1763295558,1,0,0.344366,-3.443659,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
12.495579,1763295591.141189,1763295558,1,0,-0.344366,-3.788025,0.450228,0.004012,0.000000,0.000000,3.000000,0.200000
