time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,threshold,window_s
17.965868,1763294745.461914,1763294717,1,0,-1.033098,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.967893,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.969869,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.971871,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.973872,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.975872,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.977898,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.979859,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.981859,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.983860,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.985860,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.987861,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.989886,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.991863,1763294745.461914,1763294717,1,0,-1.033098,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.993852,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.995853,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.997854,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
17.999855,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.001888,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.003868,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.005868,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.007870,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.009870,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.011894,1763294745.461914,1763294717,1,0,-0.344366,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.013872,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.015873,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.017873,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.019874,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
18.021896,1763294745.461914,1763294717,1,0,-0.688732,0.344366,0.450345,0.000000,0.000000,0.000000,3.000000,0.200000
