time,sys_time,session_id,mode,trial,preload,threshold,window_s,fx_min_window
17.792122,1763298865.891011,1763298722,1,0,0,3.000000,0.200000,1.721829
25.780095,1763298873.879903,1763298722,1,1,0,3.000000,0.200000,-3.099293
33.762620,1763298881.861270,1763298722,1,2,0,3.000000,0.200000,-1.033098
41.751945,1763298889.850522,1763298722,1,3,0,3.000000,0.200000,-3.443659
49.699301,1763298897.798166,1763298722,1,4,0,3.000000,0.200000,-1.033098
57.690575,1763298905.789097,1763298722,1,5,0,3.000000,0.200000,-1.377463
65.656489,1763298913.755178,1763298722,1,6,0,3.000000,0.200000,-3.788025
73.622804,1763298921.721693,1763298722,1,7,0,3.000000,0.200000,2.410561
81.583522,1763298929.682968,1763298722,1,8,0,3.000000,0.200000,-0.344366
89.593814,1763298937.692253,1763298722,1,9,0,3.000000,0.200000,2.754927
97.552102,1763298945.650762,1763298722,1,10,0,3.000000,0.200000,4.476756
105.537693,1763298953.636377,1763298722,1,11,0,3.000000,0.200000,-1.721829
113.499410,1763298961.598059,1763298722,1,12,0,3.000000,0.200000,3.099293
121.453123,1763298969.551833,1763298722,1,13,0,3.000000,0.200000,-1.033098
129.436904,1763298977.535456,1763298722,1,14,0,3.000000,0.200000,-0.344366
10.036427,1763299029.640903,1763298722,1,0,0,3.000000,0.200000,0.000000
18.010188,1763299037.614703,1763298722,1,1,0,3.000000,0.200000,0.344366
25.988599,1763299045.593375,1763298722,1,2,0,3.000000,0.200000,0.000000
33.957758,1763299053.562175,1763298722,1,3,0,3.000000,0.200000,-2.066195
41.935537,1763299061.540295,1763298722,1,4,0,3.000000,0.200000,-1.377463
49.907098,1763299069.511859,1763298722,1,5,0,3.000000,0.200000,-4.476756
57.872654,1763299077.477541,1763298722,1,6,0,3.000000,0.200000,-1.033098
65.838130,1763299085.442848,1763298722,1,7,0,3.000000,0.200000,-0.688732
73.812817,1763299093.418284,1763298722,1,8,0,3.000000,0.200000,-0.344366
81.806740,1763299101.411238,1763298722,1,9,0,3.000000,0.200000,0.000000
89.779963,1763299109.384571,1763298722,1,10,0,3.000000,0.200000,-2.066195
9.583796,1763299149.883822,1763298722,1,0,0,3.000000,0.200000,-2.066195
17.577188,1763299157.877070,1763298722,1,1,0,3.000000,0.200000,-1.377463
25.558706,1763299165.859169,1763298722,1,2,0,3.000000,0.200000,-2.066195
33.536649,1763299173.837388,1763298722,1,3,0,3.000000,0.200000,-3.443659
41.524314,1763299181.824336,1763298722,1,4,0,3.000000,0.200000,1.033098
49.514641,1763299189.814606,1763298722,1,5,0,3.000000,0.200000,-3.443659
57.482221,1763299197.782155,1763298722,1,6,0,3.000000,0.200000,-4.476756
65.489929,1763299205.790772,1763298722,1,7,0,3.000000,0.200000,-1.033098
73.467457,1763299213.767686,1763298722,1,8,0,3.000000,0.200000,-1.377463
50.039950,1763299323.557372,1763298722,1,0,0,3.000000,0.200000,3.443659
58.030097,1763299331.547873,1763298722,1,1,0,3.000000,0.200000,-2.066195
66.031771,1763299339.549300,1763298722,1,2,0,3.000000,0.200000,-3.443659
74.021804,1763299347.539582,1763298722,1,3,0,3.000000,0.200000,2.410561
81.986921,1763299355.504372,1763298722,1,4,0,3.000000,0.200000,-1.033098
89.960551,1763299363.478368,1763298722,1,5,0,3.000000,0.200000,2.410561
97.939932,1763299371.457479,1763298722,1,6,0,3.000000,0.200000,1.721829
105.910051,1763299379.428527,1763298722,1,7,0,3.000000,0.200000,-0.344366
113.872001,1763299387.389616,1763298722,1,8,0,3.000000,0.200000,1.033098
7.932503,1763299436.868696,1763298722,1,0,0,3.000000,0.200000,-1.377463
15.897779,1763299444.833897,1763298722,1,1,0,3.000000,0.200000,-3.443659
23.847333,1763299452.783270,1763298722,1,2,0,3.000000,0.200000,-4.132390
31.814742,1763299460.751608,1763298722,1,3,0,3.000000,0.200000,-4.476756
39.793415,1763299468.729505,1763298722,1,4,0,3.000000,0.200000,2.410561
47.781032,1763299476.717664,1763298722,1,5,0,3.000000,0.200000,-4.132390
21.577533,1763299506.641619,1763298722,1,0,0,3.000000,0.200000,-1.033098
29.553435,1763299514.618647,1763298722,1,1,0,3.000000,0.200000,2.410561
37.537774,1763299522.602361,1763298722,1,2,0,3.000000,0.200000,-1.377463
45.531439,1763299530.595944,1763298722,1,3,0,3.000000,0.200000,-1.033098
53.528914,1763299538.593337,1763298722,1,4,0,3.000000,0.200000,1.377463
61.506217,1763299546.570854,1763298722,1,5,0,3.000000,0.200000,-1.033098
69.473797,1763299554.538389,1763298722,1,6,0,3.000000,0.200000,2.410561
77.485361,1763299562.549876,1763298722,1,7,0,3.000000,0.200000,-5.854220
85.488691,1763299570.553081,1763298722,1,8,0,3.000000,0.200000,1.033098
