time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,prob_left,preload_flag
100.213741,1764319447.239483,1764319269,1,1,-44.078831,-32.370391,0.344671,0.020663,-0.001430,0.000940,0.902539,1
100.215757,1764319447.239483,1764319269,1,1,-44.078831,-32.370391,0.344667,0.020663,-0.002015,0.000140,0.902539,1
100.217743,1764319447.239483,1764319269,1,1,-44.078831,-33.747855,0.344663,0.020663,-0.002348,0.000006,0.902539,1
100.219760,1764319447.239483,1764319269,1,1,-43.734465,-33.403489,0.344655,0.020663,-0.003282,0.000000,0.902539,1
100.221744,1764319447.239483,1764319269,1,1,-44.423197,-33.747855,0.344648,0.020663,-0.004008,0.000000,0.902539,1
100.223784,1764319447.239483,1764319269,1,1,-43.734465,-33.747855,0.344629,0.020663,-0.005386,0.000000,0.902539,1
100.225746,1764319447.239483,1764319269,1,1,-43.734465,-32.370391,0.344618,0.020663,-0.006565,0.000000,0.902539,1
100.227747,1764319447.239483,1764319269,1,1,-43.734465,-33.059123,0.344610,0.020663,-0.007192,0.000000,0.902539,1
100.229763,1764319447.239483,1764319269,1,1,-44.078831,-33.747855,0.344595,0.020663,-0.007799,0.000000,0.902539,1
100.231764,1764319447.239483,1764319269,1,1,-43.734465,-33.747855,0.344565,0.020663,-0.009263,0.000000,0.902539,1
100.233749,1764319447.239483,1764319269,1,1,-43.045733,-33.747855,0.344546,0.020663,-0.009696,0.000000,0.902539,1
100.235750,1764319447.239483,1764319269,1,1,-44.078831,-33.747855,0.344534,0.020663,-0.010345,0.000000,0.902539,1
100.237766,1764319447.239483,1764319269,1,1,-44.078831,-33.747855,0.344512,0.020663,-0.010920,0.000000,0.902539,1
100.239767,1764319447.239483,1764319269,1,1,-44.078831,-33.747855,0.344478,0.020663,-0.012180,0.000000,0.902539,1
100.241767,1764319447.239483,1764319269,1,1,-43.734465,-33.747855,0.344451,0.020663,-0.012746,0.000000,0.902539,1
100.243768,1764319447.239483,1764319269,1,1,-43.734465,-33.747855,0.344440,0.020663,-0.012801,0.000000,0.902539,1
100.245770,1764319447.239483,1764319269,1,1,-43.390099,-33.747855,0.344409,0.020663,-0.014051,0.000000,0.902539,1
100.247770,1764319447.239483,1764319269,1,1,-43.390099,-33.747855,0.344368,0.020663,-0.014189,0.000000,0.902539,1
100.249800,1764319447.239483,1764319269,1,1,-43.390099,-32.370391,0.344353,0.020663,-0.014194,0.000000,0.902539,1
100.251757,1764319447.239483,1764319269,1,1,-43.734465,-33.747855,0.344322,0.020663,-0.015135,0.000000,0.902539,1
100.253772,1764319447.239483,1764319269,1,1,-43.045733,-33.747855,0.344292,0.020663,-0.015586,-0.000806,0.902539,1
100.255758,1764319447.239483,1764319269,1,1,-43.045733,-33.059123,0.344243,0.020659,-0.016086,-0.000945,0.902539,1
100.257760,1764319447.239483,1764319269,1,1,-43.045733,-33.059123,0.344228,0.020659,-0.016322,-0.000140,0.902539,1
100.259775,1764319447.239483,1764319269,1,1,-43.045733,-33.747855,0.344194,0.020659,-0.016088,-0.000001,0.902539,1
100.261776,1764319447.239483,1764319269,1,1,-43.045733,-33.747855,0.344160,0.020659,-0.016345,0.000000,0.902539,1
100.263777,1764319447.239483,1764319269,1,1,-42.701367,-32.370391,0.344107,0.020659,-0.017033,0.000000,0.902539,1
100.265778,1764319447.239483,1764319269,1,1,-42.357001,-33.747855,0.344091,0.020659,-0.017714,0.000000,0.902539,1
100.267778,1764319447.239483,1764319269,1,1,-42.701367,-33.747855,0.344054,0.020659,-0.018390,-0.000682,0.902539,1
100.269780,1764319447.239483,1764319269,1,1,-42.701367,-33.747855,0.344016,0.020655,-0.018889,-0.000946,0.902539,1
