time,sys_time,session_id,mode,trial,preload,threshold,window_s,fx_min_window
10.064406,1763298078.073008,1763298053,1,0,0,3.000000,0.200000,1.721829
18.042623,1763298086.052551,1763298053,1,1,0,3.000000,0.200000,-0.344366
26.021908,1763298094.031510,1763298053,1,2,0,3.000000,0.200000,0.344366
33.988190,1763298101.997904,1763298053,1,3,0,3.000000,0.200000,-1.033098
9.225078,1763298131.358346,1763298053,1,0,0,3.000000,0.200000,1.377463
17.229200,1763298139.361987,1763298053,1,1,0,3.000000,0.200000,1.377463
25.206631,1763298147.339325,1763298053,1,2,0,3.000000,0.200000,0.000000
33.206567,1763298155.339259,1763298053,1,3,0,3.000000,0.200000,0.344366
41.161414,1763298163.294991,1763298053,1,4,0,3.000000,0.200000,-0.344366
49.136635,1763298171.269302,1763298053,1,5,0,3.000000,0.200000,-0.344366
57.100523,1763298179.233356,1763298053,1,6,0,3.000000,0.200000,-2.066195
8.770477,1763298201.646284,1763298053,1,0,0,3.000000,0.200000,-1.721829
16.776338,1763298209.652935,1763298053,1,1,0,3.000000,0.200000,0.000000
24.764355,1763298217.640187,1763298053,1,2,0,3.000000,0.200000,1.721829
32.731792,1763298225.607352,1763298053,1,3,0,3.000000,0.200000,2.754927
40.719602,1763298233.595230,1763298053,1,4,0,3.000000,0.200000,1.721829
48.691966,1763298241.567524,1763298053,1,5,0,3.000000,0.200000,-1.033098
56.664028,1763298249.539664,1763298053,1,6,0,3.000000,0.200000,0.000000
64.611380,1763298257.486970,1763298053,1,7,0,3.000000,0.200000,-0.688732
72.565056,1763298265.441407,1763298053,1,8,0,3.000000,0.200000,-1.033098
7.111143,1763298285.371783,1763298053,1,0,0,3.000000,0.200000,1.721829
15.087390,1763298293.348695,1763298053,1,1,0,3.000000,0.200000,1.721829
23.061208,1763298301.321871,1763298053,1,2,0,3.000000,0.200000,-0.344366
31.035881,1763298309.296298,1763298053,1,3,0,3.000000,0.200000,-0.688732
39.005480,1763298317.266038,1763298053,1,4,0,3.000000,0.200000,-0.344366
46.969721,1763298325.230710,1763298053,1,5,0,3.000000,0.200000,-1.033098
54.928733,1763298333.188937,1763298053,1,6,0,3.000000,0.200000,1.377463
62.903841,1763298341.164224,1763298053,1,7,0,3.000000,0.200000,-4.132390
70.859759,1763298349.121120,1763298053,1,8,0,3.000000,0.200000,3.788025
78.834026,1763298357.094561,1763298053,1,9,0,3.000000,0.200000,-2.754927
