time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,fcmd_x,fcmd_y,fs_x,fs_y
0.042067,1765348497.096689,1765348491,0.000537,0.000159,0.004877,-0.000681,0.000000,0.000000,0.000000,0.000000
0.061999,1765348497.116567,1765348491,0.000537,0.000167,0.002761,0.000941,0.000000,0.000000,0.000000,0.000000
0.082011,1765348497.136585,1765348491,0.000534,0.000167,-0.000935,0.000000,0.000000,0.000000,0.000000,0.000000
0.102021,1765348497.156605,1765348491,0.000530,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.122025,1765348497.176605,1765348491,0.000534,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.142028,1765348497.196607,1765348491,0.000534,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.162015,1765348497.216591,1765348491,0.000534,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.182064,1765348497.236659,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
0.202116,1765348497.256734,1765348491,0.000534,0.000167,0.000000,0.000074,0.000000,0.000000,0.000000,0.000000
0.222056,1765348497.276648,1765348491,0.000534,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
0.242049,1765348497.296624,1765348491,0.000530,0.000167,-0.000265,0.000000,0.000000,0.000000,0.000000,0.000000
0.262044,1765348497.316613,1765348491,0.000534,0.000170,0.000000,-0.000500,0.000000,0.000000,0.000000,0.344366
0.282040,1765348497.336604,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,-0.688732,0.344366
0.302041,1765348497.356606,1765348491,0.000534,0.000170,-0.000011,0.000497,0.000000,0.000000,0.000000,-0.344366
0.322044,1765348497.376609,1765348491,0.000534,0.000170,0.000000,0.000945,0.000000,0.000000,0.000000,-0.344366
0.342056,1765348497.396625,1765348491,0.000534,0.000170,0.000000,0.000946,0.000000,0.000000,0.000000,0.344366
0.362055,1765348497.416623,1765348491,0.000534,0.000170,0.000000,0.000924,0.000000,0.000000,0.000000,-0.344366
0.382059,1765348497.436627,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.402050,1765348497.456614,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.422057,1765348497.476624,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
0.442057,1765348497.496622,1765348491,0.000534,0.000167,0.000000,-0.000945,0.000000,0.000000,0.000000,0.344366
0.462059,1765348497.516627,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
0.482102,1765348497.536688,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.502088,1765348497.556673,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.522143,1765348497.576742,1765348491,0.000537,0.000170,0.000497,0.000000,0.000000,0.000000,0.000000,0.000000
0.542120,1765348497.596700,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
0.562103,1765348497.616672,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.582147,1765348497.636740,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
0.602199,1765348497.656824,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.622158,1765348497.676753,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.642124,1765348497.696700,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.662127,1765348497.716698,1765348491,0.000537,0.000170,0.000945,0.000000,0.000000,0.000000,0.000000,0.000000
0.682169,1765348497.736763,1765348491,0.000534,0.000170,-0.000946,0.000000,0.000000,0.000000,0.000000,0.344366
0.702178,1765348497.756776,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.722200,1765348497.776804,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.742228,1765348497.796848,1765348491,0.000534,0.000170,-0.000265,0.000000,0.000000,0.000000,0.000000,0.000000
0.762236,1765348497.816855,1765348491,0.000534,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.782231,1765348497.836844,1765348491,0.000534,0.000170,0.000000,-0.000943,0.000000,0.000000,0.000000,0.000000
0.802167,1765348497.856742,1765348491,0.000537,0.000170,0.000945,0.000038,0.000000,0.000000,0.000000,0.000000
