time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,prob_left,preload_flag
7.193647,1765342203.621122,1765342185,1,1,0.000000,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.195652,1765342203.621122,1765342185,1,1,-1.033098,2.066195,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.197592,1765342203.621122,1765342185,1,1,0.000000,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.199563,1765342203.621122,1765342185,1,1,-0.344366,2.066195,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.201578,1765342203.621122,1765342185,1,1,-1.033098,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.203573,1765342203.621122,1765342185,1,1,0.000000,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.205582,1765342203.621122,1765342185,1,1,0.000000,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.207583,1765342203.621122,1765342185,1,1,0.000000,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.209582,1765342203.621122,1765342185,1,1,0.000000,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.211692,1765342203.621122,1765342185,1,1,-1.033098,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.213694,1765342203.621122,1765342185,1,1,-1.033098,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.215694,1765342203.621122,1765342185,1,1,-0.344366,1.033098,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.217696,1765342203.621122,1765342185,1,1,-1.033098,2.066195,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.219697,1765342203.621122,1765342185,1,1,-1.033098,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.221697,1765342203.621122,1765342185,1,1,0.000000,2.066195,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.223698,1765342203.621122,1765342185,1,1,-1.033098,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.225678,1765342203.621122,1765342185,1,1,-1.033098,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.227710,1765342203.621122,1765342185,1,1,-0.344366,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.229681,1765342203.621122,1765342185,1,1,0.000000,1.377463,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.231681,1765342203.621122,1765342185,1,1,0.000000,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.233682,1765342203.621122,1765342185,1,1,0.000000,1.033098,0.321025,0.000254,0.000000,0.000000,0.500000,0
7.235665,1765342203.621122,1765342185,1,1,-1.033098,1.721829,0.321025,0.000254,0.000000,0.000000,0.500000,0
