time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,threshold,window_s
9.866425,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.868427,1763298078.072788,1763298053,1,0,3.099293,2.754927,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.870428,1763298078.072788,1763298053,1,0,1.721829,2.754927,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.872468,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.874409,1763298078.072788,1763298053,1,0,3.099293,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.876409,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.878410,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.880411,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.882412,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.884412,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.886414,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.888416,1763298078.072788,1763298053,1,0,3.099293,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.890417,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.892417,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.894403,1763298078.072788,1763298053,1,0,3.099293,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.896403,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.898404,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.900406,1763298078.072788,1763298053,1,0,2.410561,2.754927,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.902407,1763298078.072788,1763298053,1,0,3.099293,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.904408,1763298078.072788,1763298053,1,0,2.754927,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.906408,1763298078.072788,1763298053,1,0,3.099293,2.754927,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.908409,1763298078.072788,1763298053,1,0,3.099293,2.754927,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.910409,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.912410,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.914412,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.916413,1763298078.072788,1763298053,1,0,3.099293,3.099293,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.918414,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.920415,1763298078.072788,1763298053,1,0,2.754927,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.922415,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.924507,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.926406,1763298078.072788,1763298053,1,0,1.721829,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.928406,1763298078.072788,1763298053,1,0,2.410561,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.930408,1763298078.072788,1763298053,1,0,3.099293,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.932408,1763298078.072788,1763298053,1,0,3.099293,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.934409,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.936410,1763298078.072788,1763298053,1,0,1.721829,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.938412,1763298078.072788,1763298053,1,0,3.099293,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.940413,1763298078.072788,1763298053,1,0,1.721829,2.066195,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.942414,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
9.944414,1763298078.072788,1763298053,1,0,2.410561,2.410561,0.448623,0.000662,0.000000,0.000000,3.000000,0.200000
