time,sys_time,session_id,mode,trial,preload,threshold,window_s,fx_min_window
12.659728,1763295591.142326,1763295558,1,0,0,3.000000,0.200000,-1.033098
30.304471,1763295608.787111,1763295558,1,1,0,3.000000,0.200000,-0.344366
47.971762,1763295626.455659,1763295558,1,2,0,3.000000,0.200000,1.033098
56.448754,1763295634.931574,1763295558,1,3,0,3.000000,0.200000,2.754927
64.886931,1763295643.369507,1763295558,1,4,0,3.000000,0.200000,-4.476756
73.327729,1763295651.810273,1763295558,1,5,0,3.000000,0.200000,-0.344366
81.804009,1763295660.286404,1763295558,1,6,0,3.000000,0.200000,-5.509854
90.283437,1763295668.766784,1763295558,1,7,0,3.000000,0.200000,-0.688732
98.733756,1763295677.216070,1763295558,1,8,0,3.000000,0.200000,-0.344366
107.168873,1763295685.651518,1763295558,1,9,0,3.000000,0.200000,-5.165488
115.626183,1763295694.108991,1763295558,1,10,0,3.000000,0.200000,-12.741537
124.100424,1763295702.583362,1763295558,1,11,0,3.000000,0.200000,-10.330976
132.583583,1763295711.066375,1763295558,1,12,0,3.000000,0.200000,-10.675342
141.052792,1763295719.535528,1763295558,1,13,0,3.000000,0.200000,-5.509854
149.502202,1763295727.984624,1763295558,1,14,0,3.000000,0.200000,-4.476756
157.961639,1763295736.444179,1763295558,1,15,0,3.000000,0.200000,-4.132390
