time,sys_time,session_id,mode,trial,fx,fy,pos_x,pos_y,vel_x,vel_y,prob_left,preload_flag
6.962252,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.964253,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.966253,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.968276,1763940222.137472,1763940205,1,1,0.344366,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.970255,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.972255,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.974256,1763940222.137472,1763940205,1,1,0.000000,0.688732,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.976258,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.978279,1763940222.137472,1763940205,1,1,0.000000,0.688732,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.980225,1763940222.137472,1763940205,1,1,0.344366,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.982209,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.984192,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.986185,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.988169,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.990178,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.992178,1763940222.137472,1763940205,1,1,0.344366,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.994174,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.996187,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
6.998191,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.000195,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.002203,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.004208,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.006214,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.008223,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
7.010229,1763940222.137472,1763940205,1,1,0.000000,0.000000,0.450879,0.000220,0.000000,0.000000,0.500000,0
