time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,internal_fx,internal_fy,user_fx,user_fy,prob_left,score_mode,target_succ,max_trials,effort
9.248441,1765332954.648671,1765332933,0.321336,0.000201,0.000925,0.000000,0.000000,50.000000,-1.033098,1.377463,0.500000,1,10,10,0.000000
9.250439,1765332954.650606,1765332933,0.321332,0.000201,-0.000182,0.000000,0.000000,50.000000,-1.721829,2.066195,0.500000,1,10,10,0.000000
9.252458,1765332954.652643,1765332933,0.321332,0.000201,-0.000887,0.000000,0.000000,50.000000,0.000000,2.066195,0.500000,1,10,10,0.000000
9.254451,1765332954.654647,1765332933,0.321336,0.000261,-0.000500,0.015573,0.000000,50.000000,-0.688732,46.833758,0.500000,1,10,10,0.000000
9.256444,1765332954.656617,1765332933,0.321340,0.000458,0.001815,0.063514,0.000000,50.000000,0.000000,48.899953,0.500000,1,10,10,0.000000
9.258434,1765332954.658603,1765332933,0.321343,0.000594,0.001910,0.058639,0.000000,50.000000,0.344366,49.933050,0.500000,1,10,10,0.000000
9.260433,1765332954.660611,1765332933,0.321347,0.000575,0.002766,0.030491,0.000000,50.000000,0.344366,50.621782,0.500000,1,10,10,0.000000
9.262433,1765332954.662603,1765332933,0.321347,0.000568,0.001216,-0.002486,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,0.000000
9.264446,1765332954.664625,1765332933,0.321351,0.000681,0.000913,0.025716,0.000000,50.000000,0.000000,51.999246,0.500000,1,10,10,0.000000
9.266446,1765332954.666624,1765332933,0.321351,0.000874,0.000946,0.065862,0.000000,50.000000,0.688732,49.244319,0.500000,1,10,10,0.000000
9.268450,1765332954.668638,1765332933,0.321351,0.000908,0.000500,0.059575,0.000000,50.000000,0.000000,50.277416,0.500000,1,10,10,0.000000
9.270438,1765332954.670610,1765332933,0.321351,0.000977,0.000003,0.037818,0.000000,50.000000,0.000000,50.621782,0.500000,1,10,10,0.000000
9.272435,1765332954.672603,1765332933,0.321347,0.001094,-0.000945,0.046701,0.000000,50.000000,0.344366,56.476002,0.500000,1,10,10,0.000000
9.274435,1765332954.674603,1765332933,0.321347,0.001268,-0.000946,0.072443,0.000000,50.000000,0.000000,51.310514,0.500000,1,10,10,0.000000
9.276449,1765332954.676621,1765332933,0.321347,0.001400,-0.000011,0.076380,0.000000,50.000000,0.000000,49.588685,0.500000,1,10,10,0.000000
9.278444,1765332954.678630,1765332933,0.321351,0.001495,0.000682,0.057236,0.000000,50.000000,0.344366,53.721075,0.500000,1,10,10,0.000000
9.280436,1765332954.680606,1765332933,0.321351,0.001624,0.000944,0.056020,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,0.000000
9.282449,1765332954.682621,1765332933,0.321347,0.001809,-0.000852,0.075304,0.000000,50.000000,0.000000,57.164734,0.500000,1,10,10,0.000000
9.284443,1765332954.684617,1765332933,0.321347,0.001983,-0.000939,0.089146,0.000000,50.000000,0.000000,57.164734,0.500000,1,10,10,0.000000
9.286443,1765332954.686627,1765332933,0.321347,0.002131,-0.000946,0.082153,0.000000,50.000000,0.000000,57.164734,0.500000,1,10,10,0.000000
9.288441,1765332954.688615,1765332933,0.321347,0.002286,-0.000006,0.075626,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,0.000000
9.290437,1765332954.690606,1765332933,0.321347,0.002475,0.000000,0.084274,0.000000,50.000000,0.688732,56.820368,0.500000,1,10,10,0.000000
9.292440,1765332954.692612,1765332933,0.321351,0.002782,0.000682,0.100826,0.000000,50.000000,0.000000,57.164734,0.500000,1,10,10,3.164485
9.294437,1765332954.694606,1765332933,0.321351,0.002877,0.000925,0.100617,0.000000,50.000000,0.344366,56.820368,0.500000,1,10,10,3.450356
9.296455,1765332954.696632,1765332933,0.321351,0.003066,0.000946,0.096553,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,3.723017
9.298442,1765332954.698618,1765332933,0.321351,0.003263,0.000001,0.095980,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,3.992392
9.300434,1765332954.700597,1765332933,0.321351,0.003478,0.000000,0.102455,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,4.281705
9.302451,1765332954.702628,1765332933,0.321347,0.003702,-0.000940,0.110006,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,4.592351
9.304449,1765332954.704621,1765332933,0.321347,0.003925,-0.000946,0.112125,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,4.908980
9.306448,1765332954.706618,1765332933,0.321347,0.004145,-0.000000,0.110325,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,5.218617
9.308455,1765332954.708624,1765332933,0.321347,0.004489,0.000000,0.113083,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,5.535992
9.310446,1765332954.710614,1765332933,0.321347,0.004610,0.000000,0.115416,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,5.859917
9.312446,1765332954.712613,1765332933,0.321347,0.004852,0.000000,0.120491,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,6.200159
9.314445,1765332954.714611,1765332933,0.321351,0.005095,0.000682,0.121118,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,6.542177
9.316445,1765332954.716610,1765332933,0.321347,0.005341,0.000039,0.121994,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,6.884562
9.318446,1765332954.718610,1765332933,0.321347,0.005598,-0.000679,0.126058,0.000000,50.000000,0.344366,56.131636,0.500000,1,10,10,7.238366
9.320443,1765332954.720608,1765332933,0.321347,0.005871,-0.000499,0.131991,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,7.611085
9.322444,1765332954.722608,1765332933,0.321347,0.006139,-0.000003,0.135444,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,7.988887
9.324445,1765332954.724611,1765332933,0.321351,0.006423,0.000925,0.138737,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,8.380662
9.326447,1765332954.726613,1765332933,0.321351,0.006722,0.000264,0.145167,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,8.783087
9.328449,1765332954.728617,1765332933,0.321351,0.007033,0.000021,0.151345,0.000000,50.000000,0.688732,55.787270,0.500000,1,10,10,9.205277
9.330450,1765332954.730619,1765332933,0.321347,0.007339,-0.000907,0.154639,0.000000,50.000000,-0.688732,56.820368,0.500000,1,10,10,9.644648
9.332452,1765332954.732623,1765332933,0.321347,0.007657,-0.000946,0.156492,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,10.081169
9.334459,1765332954.734632,1765332933,0.321347,0.007990,0.000425,0.161979,0.000000,50.000000,0.344366,56.131636,0.500000,1,10,10,10.535786
9.336457,1765332954.736630,1765332933,0.321351,0.008331,0.000940,0.168073,0.000000,50.000000,0.344366,55.442904,0.500000,1,10,10,11.001726
9.338458,1765332954.738632,1765332933,0.321351,0.008672,0.000074,0.170652,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,11.474798
9.340459,1765332954.740634,1765332933,0.321351,0.009024,0.000006,0.173316,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,11.952270
9.342460,1765332954.742637,1765332933,0.321351,0.009391,0.000000,0.179050,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,12.448624
9.344463,1765332954.744642,1765332933,0.321351,0.009765,0.000000,0.185048,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,12.964790
9.346465,1765332954.746645,1765332933,0.321351,0.010144,0.000000,0.188203,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,13.483276
9.348467,1765332954.748649,1765332933,0.321351,0.010526,0.000000,0.190489,0.000000,50.000000,0.344366,55.098538,0.500000,1,10,10,14.008068
9.350469,1765332954.750651,1765332933,0.321351,0.010924,0.000000,0.194063,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,14.542697
9.352471,1765332954.752656,1765332933,0.321347,0.011329,-0.000925,0.200773,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,15.092360
9.354472,1765332954.754657,1765332933,0.321351,0.011745,-0.000140,0.205089,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,15.660896
9.356474,1765332954.756660,1765332933,0.321351,0.012165,0.000944,0.208757,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,16.232419
9.358477,1765332954.758665,1765332933,0.321351,0.012593,0.000140,0.212097,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,16.824034
9.360491,1765332954.760682,1765332933,0.321351,0.013032,0.000001,0.216746,0.000000,50.000000,0.688732,54.409807,0.500000,1,10,10,17.413738
9.362480,1765332954.762672,1765332933,0.321351,0.013482,0.000000,0.222988,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,18.024214
9.364484,1765332954.764677,1765332933,0.321351,0.013944,0.000000,0.228247,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,18.653018
9.366484,1765332954.766678,1765332933,0.321347,0.014633,-0.000682,0.229976,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,19.278667
9.368488,1765332954.768684,1765332933,0.321347,0.014856,-0.000925,0.227820,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,19.902378
9.370488,1765332954.770685,1765332933,0.321347,0.015314,-0.000946,0.227007,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,20.519953
9.372488,1765332954.772685,1765332933,0.321347,0.015791,-0.000002,0.233498,0.000000,50.000000,0.344366,54.409807,0.500000,1,10,10,21.155194
9.374489,1765332954.774685,1765332933,0.321351,0.016514,0.000925,0.241034,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,21.810930
9.376493,1765332954.776694,1765332933,0.321351,0.016753,0.000944,0.240576,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,22.469563
9.378494,1765332954.778694,1765332933,0.321347,0.017226,-0.000542,0.237697,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,23.116219
9.380494,1765332954.780695,1765332933,0.321347,0.017706,-0.000944,0.238325,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,23.768687
9.382499,1765332954.782704,1765332933,0.321347,0.018199,-0.000140,0.242959,0.000000,50.000000,0.000000,54.065441,0.500000,1,10,10,24.425472
9.384500,1765332954.784704,1765332933,0.321351,0.018687,0.000907,0.245059,0.000000,50.000000,0.000000,53.376709,0.500000,1,10,10,25.079498
9.386519,1765332954.786729,1765332933,0.321351,0.019179,0.000943,0.244592,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,25.744914
9.388506,1765332954.788714,1765332933,0.321351,0.019682,0.000500,0.248852,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,26.430484
9.390506,1765332954.790715,1765332933,0.321347,0.020193,-0.000869,0.253808,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,27.120970
9.392507,1765332954.792716,1765332933,0.321347,0.020700,-0.000946,0.254160,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,27.816792
9.394513,1765332954.794727,1765332933,0.321347,0.021196,-0.000074,0.251112,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,28.504264
9.396514,1765332954.796729,1765332933,0.321347,0.021703,-0.000000,0.251083,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,29.187334
9.398515,1765332954.798728,1765332933,0.321347,0.022222,0.000000,0.256470,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,29.889474
9.400515,1765332954.800730,1765332933,0.321347,0.022744,0.000000,0.260151,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,30.597212
9.402516,1765332954.802731,1765332933,0.321347,0.023259,0.000000,0.258869,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,31.301462
9.404524,1765332954.804745,1765332933,0.321347,0.024043,0.000000,0.259923,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,32.008580
9.406524,1765332954.806745,1765332933,0.321347,0.024308,0.000000,0.262369,0.000000,50.000000,0.344366,54.409807,0.500000,1,10,10,32.722367
9.408525,1765332954.808745,1765332933,0.321347,0.024838,0.000000,0.264089,0.000000,50.000000,0.000000,53.721075,0.500000,1,10,10,33.431724
