time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,internal_fx,internal_fy,user_fx,user_fy,prob_left,score_mode,target_succ,max_trials,effort
31.648014,1765347772.744007,1765347729,0.323372,0.000182,0.000000,0.000000,0.000000,50.000000,-2.410561,1.721829,0.500000,1,10,10,0.000000
31.650052,1765347772.745971,1765347729,0.323376,0.000182,0.000806,0.000000,0.000000,50.000000,-3.443659,1.377463,0.500000,1,10,10,0.000000
31.652052,1765347772.747972,1765347729,0.323376,0.000182,0.000946,0.000000,0.000000,50.000000,-0.344366,1.721829,0.500000,1,10,10,0.000000
31.654061,1765347772.749975,1765347729,0.323380,0.000227,0.001364,0.011759,0.000000,50.000000,-1.033098,48.211221,0.500000,1,10,10,0.000000
31.656010,1765347772.751904,1765347729,0.323383,0.000424,0.002533,0.059341,0.000000,50.000000,0.344366,49.244319,0.500000,1,10,10,0.000000
31.658001,1765347772.753871,1765347729,0.323399,0.000572,0.005491,0.084531,0.000000,50.000000,0.000000,49.588685,0.500000,1,10,10,0.000000
31.660170,1765347772.756227,1765347729,0.323414,0.000579,0.007484,0.040262,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,0.000000
31.662126,1765347772.758113,1765347729,0.323433,0.000564,0.008740,-0.000226,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,0.000000
31.664136,1765347772.760082,1765347729,0.323459,0.000655,0.009332,0.018491,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,0.000000
31.666038,1765347772.761904,1765347729,0.323478,0.000863,0.008807,0.066729,0.000000,50.000000,0.000000,49.588685,0.500000,1,10,10,0.000000
31.668054,1765347772.763933,1765347729,0.323486,0.000905,0.008605,0.062088,0.000000,50.000000,0.344366,49.933050,0.500000,1,10,10,0.000000
31.670052,1765347772.765931,1765347729,0.323501,0.000973,0.007770,0.041885,0.000000,50.000000,0.000000,49.244319,0.500000,1,10,10,0.000000
31.672054,1765347772.767933,1765347729,0.323516,0.001086,0.005499,0.045580,0.000000,50.000000,-0.344366,55.787270,0.500000,1,10,10,0.000000
31.674050,1765347772.769921,1765347729,0.323520,0.001260,0.004791,0.071972,0.000000,50.000000,0.000000,57.509099,0.500000,1,10,10,0.000000
31.676039,1765347772.771906,1765347729,0.323527,0.001404,0.003351,0.079338,0.000000,50.000000,0.000000,49.588685,0.500000,1,10,10,0.000000
31.678038,1765347772.773904,1765347729,0.323531,0.001503,0.002414,0.059122,0.000000,50.000000,0.000000,48.555587,0.500000,1,10,10,0.000000
31.680062,1765347772.775938,1765347729,0.323535,0.001628,0.001830,0.055231,0.000000,50.000000,0.344366,55.787270,0.500000,1,10,10,0.000000
31.682036,1765347772.777899,1765347729,0.323535,0.001813,0.000967,0.076497,0.000000,50.000000,0.000000,57.164734,0.500000,1,10,10,0.000000
31.684036,1765347772.779899,1765347729,0.323535,0.001999,0.000011,0.092670,0.000000,50.000000,0.344366,57.853465,0.500000,1,10,10,0.000000
31.686038,1765347772.781902,1765347729,0.323531,0.002226,-0.000935,0.079405,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,0.000000
31.688043,1765347772.783910,1765347729,0.323531,0.002305,-0.000945,0.076292,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,0.000000
31.690039,1765347772.785904,1765347729,0.323531,0.002494,-0.000140,0.084896,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,3.002911
31.692039,1765347772.787903,1765347729,0.323531,0.002710,-0.000001,0.101132,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,3.286747
31.694041,1765347772.789906,1765347729,0.323535,0.002914,0.000925,0.105285,0.000000,50.000000,0.000000,56.476002,0.500000,1,10,10,3.584062
31.696041,1765347772.791907,1765347729,0.323535,0.003104,0.000944,0.099097,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,3.865611
31.698038,1765347772.793902,1765347729,0.323535,0.003304,0.000264,0.097186,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,4.138374
31.700039,1765347772.795903,1765347729,0.323535,0.003528,0.000001,0.105010,0.000000,50.000000,0.688732,56.476002,0.500000,1,10,10,4.434924
31.702042,1765347772.797909,1765347729,0.323535,0.003762,0.000000,0.114401,0.000000,50.000000,0.344366,56.820368,0.500000,1,10,10,4.759944
31.704044,1765347772.799914,1765347729,0.323535,0.003989,0.000000,0.115673,0.000000,50.000000,0.344366,56.476002,0.500000,1,10,10,5.086587
31.706048,1765347772.801916,1765347729,0.323531,0.004213,-0.000907,0.112332,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,5.399933
31.708061,1765347772.803942,1765347729,0.323535,0.004569,-0.000264,0.116604,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,5.731207
31.710061,1765347772.805944,1765347729,0.323535,0.004693,0.000435,0.120210,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,6.068589
31.712044,1765347772.807915,1765347729,0.323535,0.004947,0.000943,0.125488,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,6.425112
31.714044,1765347772.809914,1765347729,0.323535,0.005197,0.000011,0.125860,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,6.778349
31.716045,1765347772.811916,1765347729,0.323535,0.005454,0.000000,0.126659,0.000000,50.000000,0.344366,55.787270,0.500000,1,10,10,7.131654
31.718045,1765347772.813917,1765347729,0.323535,0.005859,0.000000,0.133894,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,7.507439
31.720046,1765347772.815918,1765347729,0.323535,0.005996,0.000000,0.135650,0.000000,50.000000,0.000000,56.820368,0.500000,1,10,10,7.892824
31.722047,1765347772.817920,1765347729,0.323535,0.006276,0.000000,0.138005,0.000000,50.000000,0.000000,56.131636,0.500000,1,10,10,8.280146
31.724047,1765347772.819920,1765347729,0.323535,0.006567,0.000000,0.142861,0.000000,50.000000,0.344366,55.442904,0.500000,1,10,10,8.676183
31.726049,1765347772.821924,1765347729,0.323535,0.006881,0.000000,0.151083,0.000000,50.000000,-0.344366,54.409807,0.500000,1,10,10,9.087212
31.728049,1765347772.823925,1765347729,0.323535,0.007362,0.000000,0.160246,0.000000,50.000000,0.344366,55.787270,0.500000,1,10,10,9.534205
31.730055,1765347772.825935,1765347729,0.323535,0.007525,0.000000,0.161262,0.000000,50.000000,0.344366,55.787270,0.500000,1,10,10,9.984032
31.732059,1765347772.827935,1765347729,0.323535,0.007854,0.000000,0.163135,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,10.439076
31.734050,1765347772.829926,1765347729,0.323535,0.008195,0.000000,0.167690,0.000000,50.000000,0.688732,54.754173,0.500000,1,10,10,10.898200
31.736054,1765347772.831934,1765347729,0.323535,0.008543,0.000000,0.172450,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,11.370319
31.738054,1765347772.833933,1765347729,0.323535,0.009084,0.000000,0.178880,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,11.860041
31.740055,1765347772.835934,1765347729,0.323535,0.009273,0.000000,0.182525,0.000000,50.000000,-0.344366,55.787270,0.500000,1,10,10,12.369180
31.742057,1765347772.837938,1765347729,0.323535,0.009659,0.000000,0.189833,0.000000,50.000000,0.000000,55.787270,0.500000,1,10,10,12.898693
31.744093,1765347772.839999,1765347729,0.323535,0.010046,0.000000,0.192988,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,13.433685
31.746097,1765347772.842006,1765347729,0.323535,0.010435,0.000000,0.193747,0.000000,50.000000,0.000000,55.442904,0.500000,1,10,10,13.970779
31.748097,1765347772.844007,1765347729,0.323535,0.010840,0.000000,0.198084,0.000000,50.000000,0.688732,54.409807,0.500000,1,10,10,14.509708
31.750096,1765347772.846005,1765347729,0.323535,0.011257,0.000000,0.205226,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,15.075091
31.752104,1765347772.848019,1765347729,0.323535,0.011684,0.000000,0.211171,0.000000,50.000000,0.344366,55.442904,0.500000,1,10,10,15.660499
31.754105,1765347772.850015,1765347729,0.323535,0.012120,0.000000,0.215394,0.000000,50.000000,0.000000,55.098538,0.500000,1,10,10,16.253895
31.756105,1765347772.852020,1765347729,0.323535,0.012555,0.000000,0.217968,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,16.850628
31.758116,1765347772.854030,1765347729,0.323535,0.013002,0.000000,0.220721,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,17.451096
31.760100,1765347772.856010,1765347729,0.323535,0.013467,0.000000,0.227901,0.000000,50.000000,0.688732,54.409807,0.500000,1,10,10,18.071148
31.762105,1765347772.858020,1765347729,0.323535,0.013955,0.000000,0.238157,0.000000,50.000000,0.344366,54.409807,0.500000,1,10,10,18.719066
31.764093,1765347772.859996,1765347729,0.323535,0.014440,0.000000,0.242971,0.000000,50.000000,0.000000,54.409807,0.500000,1,10,10,19.380066
31.766065,1765347772.861954,1765347729,0.323535,0.014909,0.000000,0.238540,0.000000,50.000000,0.344366,55.098538,0.500000,1,10,10,20.037238
31.768078,1765347772.863967,1765347729,0.323535,0.015379,0.000000,0.234666,0.000000,50.000000,0.000000,53.376709,0.500000,1,10,10,20.663523
31.770070,1765347772.865963,1765347729,0.323535,0.016136,0.000000,0.248282,0.000000,50.000000,0.344366,54.754173,0.500000,1,10,10,21.343260
31.772072,1765347772.867969,1765347729,0.323535,0.016397,0.000000,0.254244,0.000000,50.000000,0.000000,54.754173,0.500000,1,10,10,22.039307
31.774075,1765347772.869976,1765347729,0.323535,0.016900,0.000000,0.255772,0.000000,50.000000,0.688732,54.409807,0.500000,1,10,10,22.735188
31.776080,1765347772.871987,1765347729,0.323535,0.017392,0.000000,0.248912,0.000000,50.000000,-0.344366,54.065441,0.500000,1,10,10,23.408078
31.778081,1765347772.873987,1765347729,0.323535,0.017900,0.000000,0.249295,0.000000,50.000000,0.344366,55.098538,0.500000,1,10,10,24.094882
